ISO;Score;Rank;Political Context;Rank_Pol;Economic Context;Rank_Eco;Legal Context;Rank_Leg;Social Context;Rank_Soc;Safety;Rank_Saf;Zone;Country_EN;Country_FR;Country_ES;Country_AR;Country_FA;Year (N);Rank N-1;Rank evolution
KWT;37,87;158;32,73;170;19,39;175;36,84;159;27;176;73,41;70;Maghreb - Moyen-Orient;Kuwait;Koweït;Kuwait;الكويت;کویت;2022;105;-53

VEN;37,78;159;33,7;165;31,73;145;44,74;145;47,5;151;31,22;152;Amériques;Venezuela;Venezuela;Venezuela;فنزويلا;ونزوئلا;2022;148;-11

NIC;37,09;160;37,45;156;38,78;108;31,75;166;49,8;147;27,68;156;Amériques;Nicaragua;Nicaragua;Nicaragua;نيكاراغوا;نیکاراگوئه;2022;121;-39

LAO;36,64;161;36,06;159;20,92;172;31,58;167;44;160;50,64;123;Asie-Pacifique;Lao People's Democratic Republic;Laos;Laos;لاوس;لائوس;2022;172;11

BGD;36,63;162;42,12;140;32,48;138;44,15;148;48,5;149;15,88;172;Asie-Pacifique;Bangladesh;Bangladesh;Bangladés;بنغلاديش;بنگلادش;2022;152;-10

OMN;35,99;163;32,73;170;23,98;166;18,42;179;45;155;59,82;107;Maghreb - Moyen-Orient;Oman;Oman;Omán;عمان;عمان;2022;133;-30

DJI;35,75;164;32,73;170;16,12;177;37,72;157;37,6;165;54,56;117;Afrique;Djibouti;Djibouti;Yibuti;جيبوتي;جیبوتی;2022;176;12

HND;34,61;165;33,33;167;31,63;146;36,84;159;31;173;40,22;136;Amériques;Honduras;Honduras;Honduras;هندوراس;هندوراس;2022;151;-14

SAU;33,71;166;37,27;157;33,67;132;22,37;177;36,5;167;38,75;138;Maghreb - Moyen-Orient;Saudi Arabia;Arabie saoudite;Arabia Saudita;المملكة العربية السعودية;عربستان سعودی;2022;170;4

BHR;30,97;167;35,15;161;21,43;170;28,95;170;39,67;164;29,65;153;Maghreb - Moyen-Orient;Bahrain;Bahreïn;Baréin;البحرين;بحرین;2022;168;1

EGY;30,23;168;30,91;174;23,47;168;34,87;162;44,25;158;17,64;169;Maghreb - Moyen-Orient;Egypt;Égypte;Egipto;مصر;مصر;2022;166;-2

YEM;29,14;169;33,03;168;27,55;161;38,6;156;35;169;11,54;177;Maghreb - Moyen-Orient;Yemen;Yémen;Yemen;اليمن;یمن;2022;169;0

PSE;28,98;170;35,45;160;15,82;178;36,4;161;36,5;167;20,74;162;Maghreb - Moyen-Orient;Palestine;Palestine;Palestina;فلسطين;فلسطین;2022;132;-38

SYR;28,94;171;33,51;166;27,62;160;33,58;164;36,57;166;13,39;175;Maghreb - Moyen-Orient;Syrian Arab Republic;Syrie;Siria;سوريا;سوریه;2022;173;2

IRQ;28,59;172;34,14;163;20,07;173;29,82;168;40,67;163;18,27;166;Maghreb - Moyen-Orient;Iraq;Irak;Irak;العراق;عراق;2022;163;-9

CUB;27,32;173;27,27;177;39,8;104;15,79;180;27,5;175;26,24;158;Amériques;Cuba;Cuba;Cuba;كوبا;کوبا;2022;171;-2

VNM;26,11;174;32,32;173;18,71;176;27,49;172;34,67;170;17,37;170;Asie-Pacifique;Vietnam;Viêt Nam;Vietnam;فيتنام;ویتنام;2022;175;1

CHN;25,17;175;27,45;176;26,02;164;23,25;175;33,3;172;15,84;173;Asie-Pacifique;China;Chine;China;الصين;چین;2022;177;2

MMR;25,03;176;40,4;149;29,25;155;20,18;178;30,67;174;4,63;180;Asie-Pacifique;Myanmar;Birmanie;Birmania;بورما;برمه;2022;140;-36

TKM;25,01;177;25;178;11,73;179;29,61;169;23;178;35,69;142;Europe - Asie centrale;Turkmenistan;Turkménistan;Turkmenistán;تركمانستان;ترکمنستان;2022;178;1

IRN;23,22;178;30,71;175;21,32;171;26,71;173;23,78;177;13,61;174;Maghreb - Moyen-Orient;Islamic Republic of Iran;Iran;Irán;إيران;ایران;2022;174;-4

ERI;19,62;179;22,22;180;19,73;174;25,15;174;19,67;179;11,36;178;Afrique;Eritrea;Érythrée;Eritrea;إريتريا;اریتره;2022;180;1

PRK;13,92;180;22,42;179;0;180;22,81;176;12;180;12,38;176;Asie-Pacifique;Democratic People's Republic of Korea;Corée du Nord;Corea del Norte;كوريا الشمالية;کره شمالی;2022;179;-1

